id,title,category,description,location,availability_start,availability_end,condition,rating
1,Screwdriver Set,Tools,A poor screwdriver set for tools use.,New York,2024-11-11,2025-01-21,fair,2.3
2,Saw,Tools,A poor saw for tools use.,Miami,2024-03-16,2024-05-08,poor,1.0
3,Running Shoes,Sports,A good running shoes for sports use.,Miami,2024-12-03,2025-10-14,excellent,3.8
4,Portable Speaker,Electronics,A excellent portable speaker for electronics use.,Seattle,2024-07-05,2025-04-11,excellent,4.3
5,To Kill a Mockingbird,Books,A fair to kill a mockingbird for books use.,Seattle,2024-11-25,2025-06-26,good,3.2
6,Laptop,Electronics,A excellent laptop for electronics use.,Miami,2024-05-30,2024-08-02,good,2.6
7,Fahrenheit 451,Books,A excellent fahrenheit 451 for books use.,Los Angeles,2024-10-27,2025-08-17,new,5.0
8,Hammer,Tools,A fair hammer for tools use.,Boston,2024-03-09,2024-09-14,excellent,4.3
9,Tablet,Electronics,A good tablet for electronics use.,Boston,2024-08-23,2024-10-29,poor,1.0
10,Jane Eyre,Books,A excellent jane eyre for books use.,Los Angeles,2024-12-30,2025-04-17,good,3.0
11,Bicycle,Sports,A fair bicycle for sports use.,Miami,2024-02-15,2024-09-17,good,3.4
12,Tennis Racket,Sports,A fair tennis racket for sports use.,Miami,2024-06-04,2024-11-10,good,2.0
13,USB Drive,Electronics,A new usb drive for electronics use.,San Francisco,2024-07-07,2025-01-28,excellent,3.1
14,Slow Cooker,Kitchen,A new slow cooker for kitchen use.,Boston,2024-05-01,2024-10-03,poor,1.5
15,Running Shoes,Sports,A new running shoes for sports use.,Seattle,2024-02-15,2024-03-20,fair,2.5
16,Frying Pan,Kitchen,A excellent frying pan for kitchen use.,Los Angeles,2024-12-01,2025-07-03,poor,1.0
17,External Hard Drive,Electronics,A excellent external hard drive for electronics use.,New York,2024-11-26,2025-11-20,good,3.0
18,Utility Knife,Tools,A excellent utility knife for tools use.,Chicago,2024-08-20,2024-12-21,poor,1.0
19,Knife Set,Kitchen,A new knife set for kitchen use.,Los Angeles,2024-12-15,2025-04-23,excellent,3.6
20,The Great Gatsby,Books,A fair the great gatsby for books use.,San Francisco,2024-08-24,2024-11-06,fair,1.2
21,Running Shoes,Sports,A good running shoes for sports use.,Denver,2024-11-22,2025-02-15,excellent,3.0
22,Tablet,Electronics,A fair tablet for electronics use.,Boston,2024-06-29,2025-05-24,good,2.0
23,Basketball,Sports,A good basketball for sports use.,Austin,2024-06-24,2025-03-05,fair,2.1
24,Running Shoes,Sports,A poor running shoes for sports use.,Boston,2024-05-23,2024-08-28,excellent,3.4
25,The Catcher in the Rye,Books,A excellent the catcher in the rye for books use.,San Francisco,2024-01-30,2024-09-13,new,5.0
26,Screwdriver Set,Tools,A new screwdriver set for tools use.,Miami,2024-02-22,2024-12-08,new,5.0
